name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,commisioning_year,State,Counties
Swanmill Windfarm I,USA0054650,18.7,33.942,-116.661,Wind,1989.4866309999998,Mark Technologies Corp,22.319000000000003,0.0,28.874000000000002,0.0,4.092,1989,California,Riverside County
Sooner,USA0006095,1138.0,36.4531,-97.0528,Coal,1980.0,Oklahoma Gas & Electric Co,5971.706042,5893.940992,5621.453044,4073.448008,3583.975019,1980,Oklahoma,Osage County
Athens Energy,USA0060457,8.5,44.9455,-69.6607,Waste,2016.0,Athens Energy  LLC,0.0,0.0,0.0,8.099,53.348,2016,Maine,Somerset County
W S Lee,USA0003264,271.2,34.6022,-82.435,Gas,1978.1150440000001,Duke Energy Carolinas  LLC,59.74,344.728,0.0,284.118001,127.39299999999999,1978,South Carolina,Anderson County
Gordon Evans Energy Center,USA0001240,904.0,37.7903,-97.5217,Gas,1979.994027,Kansas Gas & Electric Co,612.3919999999999,342.15,283.695,0.0,377.130996,1979,Kansas,Sedgwick County
Priest Rapids,USA0003887,955.6,46.6451,-119.90799999999999,Hydro,1960.0,PUD No 2 of Grant County,4817.483,4745.3679999999995,4616.724,4758.428,4470.009,1960,Washington,Grant County
Musgrave East Solar Farm,USA0061003,2.0,42.7315,-76.6637,Solar,2017.0,Artemis Solar LLC,0.0,0.0,0.0,0.003,2.721,2017,New York,Cayuga County
Jackson (OH),USA0007577,3.6,39.0441,-82.6101,Oil,1991.0,American Mun Power-Ohio  Inc,0.042,0.042,0.008,0.004,0.006,1991,Ohio,Jackson County
Sampson Road Community Solar,USA0061308,2.0,42.1,-72.0,Solar,2018.0,Sampson Road Solar  LLC,0.0,0.0,0.0,0.0,0.0,2018,Massachusetts,Worcester County
Little Falls (WA),USA0003866,34.8,47.8217,-117.9167,Hydro,1910.54023,Avista Corp,176.53900000000002,195.005,147.602,182.385,183.422,1910,Washington,Lincoln County
Mosaic New Wales Operations,USA0010434,135.5,27.8336,-82.0519,Cogeneration,1991.723247,Mosaic Fertilizer LLC,443.48699999999997,522.59016,555.368,605.27,564.2130000000001,1991,Florida,Polk County
Luke Mill,USA0050282,65.0,39.4736,-79.0569,Coal,1967.692308,Verso Luke LLC,276.576996,300.360004,195.53400200000002,222.733999,234.26000299999998,1967,Maryland,Allegany County
Newcastle,USA0000632,12.7,38.8352,-121.09299999999999,Hydro,1987.0,Pacific Gas & Electric Co.,13.800999999999998,7.369,10.112,16.067999999999998,14.305,1987,California,Placer County
Rocky River (CT),USA0000539,31.0,41.5826,-73.4349,Hydro,1928.1129030000002,FirstLight Power Resources Services LLC,-1.051,6.782,-3.707,5.587000000000001,1.797,1928,Connecticut,Litchfield County
Kings Falls Hydroelectric,USA0010872,1.6,43.9173,-75.6338,Hydro,1988.0,Silverstreet Hydro,0.0,0.0,0.0,0.0,2.1959999999999997,1988,New York,Jefferson County
Criterion,USA0057300,70.0,39.4047,-79.29,Wind,2011.0,Criterion Power Partners LLC,175.372,174.59799999999998,170.19299999999998,182.563,189.72299999999998,2011,Maryland,Garrett County
Carrier Clinic,USA0059297,1.5,40.47,-74.685,Solar,2009.0,Sunlight General Solar Fund II  LLC,2.042,1.99,2.14,2.121,1.9169999999999998,2009,New Jersey,Somerset County
Hebron,USA0002266,56.7,40.1879,-97.5779,Oil,1973.0,Nebraska Public Power District,0.084,0.654,0.519,0.441,0.16399999999999998,1973,Nebraska,Thayer County
East Wayne Solar LLC,USA0059189,2.0,35.4417,-77.85,Solar,2014.0,East Wayne Solar LLC,0.0,3.09,3.819,3.915,3.873,2014,North Carolina,Wayne County
Spring Canyon,USA0056320,60.0,40.983000000000004,-102.9647,Wind,2006.0,Invenergy Services LLC,219.09599999999998,196.705,180.449,202.55599999999998,177.458,2006,Nebraska,Cheyenne County
Rocky Mountain Hydroelectric Plant,USA0006189,847.8,34.3555,-85.3039,Hydro,1995.0,Oglethorpe Power Corporation,-468.86,-472.543,-489.61300000000006,-489.099,-534.99,1995,Georgia,Chattooga County
Lanesboro,USA0001987,2.6,43.72,-91.9777,Oil,1994.6538460000002,Lanesboro Public Utility Comm,0.01,0.325,0.439,0.022000000000000002,0.012,1994,Minnesota,Fillmore County
Northampton Landfill Solar PV,USA0060908,2.4,42.2937,-72.714,Solar,2017.0,Ameresco Glendale Road Solar PV LLC,0.0,0.0,0.0,0.0,0.226,2017,Massachusetts,Hampshire County
Lincolnton High School,USA0056341,1.8,35.4774,-81.2623,Oil,2006.0,North Carolina Mun Power Agny #1,0.042,0.039,0.051,0.057999999999999996,0.085,2006,North Carolina,Lincoln County
Marathon Electric,USA0050990,2.6,44.9783,-89.6328,Oil,1981.076923,Marathon Electric Mfg Corp,0.0,0.0,0.0,0.001,0.0,1981,Wisconsin,Marathon County
Milford Flat Solar Plant,USA0058601,3.0,38.2914,-113.0083,Solar,2015.0,First Wind O&M  LLC,0.0,0.0,2.582,5.274,5.776,2015,Utah,Beaver County
Lee Creek Water Treatment Facility,USA0054283,1.3,35.4845,-94.3929,Hydro,1992.0,Fort Smith City of,-4.3069999999999995,0.003,0.0,0.0,0.0,1992,Arkansas,Crawford County
Gaylord Container Bogalusa,USA0054427,99.5,30.7811,-89.8575,Waste,1986.9396980000001,Temple-Inland Corp,0.0,0.0,0.0,0.0,526.795618,1986,Louisiana,Washington Parish
Lenoir Farm 2,USA0058334,5.0,35.35,-77.475,Solar,2013.0,Lenoir Farm 2 LLC,4.511,8.642000000000001,8.413,7.186,8.755,2013,North Carolina,Pitt County
Hamilton Branch,USA0000242,5.3,40.2687,-121.0895,Hydro,1921.0,Pacific Gas & Electric Co.,9.621,4.101,4.033,10.118,8.307,1921,California,Lassen County
Golden Renewable Energy  LLC,USA0061632,4.3,43.1159,-93.227,Gas,2017.0,Golden Renewable Energy  LLC,0.0,0.0,0.0,0.0,3.5469999999999997,2017,Iowa,Cerro Gordo County
MPEA Energy Center,USA0055067,6.0,41.8527,-87.6185,Oil,2010.0,Metropolitan Pier and Exposition Auth,0.0,0.0,0.0,0.0,0.0,2010,Illinois,Cook County
O W Sommers,USA0003611,892.0,29.3081,-98.3242,Gas,1973.0,City of San Antonio - (TX),800.447003,470.944004,517.2100019999999,424.28900300000004,421.777999,1973,Texas,Bexar County
Town of Halfmoon,USA0060115,1.0,42.835,-73.6757,Solar,2017.0,Tesla Inc.,0.0,0.0,0.0,0.0,0.263,2017,New York,Saratoga County
ReEnergy Livermore Falls,USA0010354,39.6,44.4317,-70.1619,Waste,1992.0,ReEnergy Livermore Falls,280.982,304.833997,285.476,267.262,219.373,1992,Maine,Androscoggin County
Paris (WI),USA0007270,381.6,42.6658,-88.0131,Gas,1995.0,Wisconsin Electric Power Co,0.0,19.092,120.759996,160.537,102.37099599999999,1995,Wisconsin,Racine County
Olmsted Waste Energy,USA0050413,11.3,44.0261,-92.4323,Waste,2001.504425,Olmsted County Public Works,28.61709,28.504509999999996,32.35561,32.56838,33.333040000000004,2001,Minnesota,Olmsted County
Innovative Solar 44,USA0059675,4.9,34.859,-79.108,Solar,2015.0,Cypress Creek Renewables,0.0,0.0,0.218,8.8,9.503,2015,North Carolina,Robeson County
Kimball,USA0002248,9.6,41.2382,-103.6667,Oil,1962.78125,City of Kimball - (NE),0.147,0.0,0.08800000000000001,0.045,0.052000000000000005,1962,Nebraska,Kimball County
Salt Lake Energy Systems,USA0056554,3.2,40.7461,-112.0339,Waste,2006.0,LES Project Holdings LLC,24.848000000000003,25.663,22.092,23.47,25.473000000000003,2006,Utah,Salt Lake County
Granite Peak Solar Plant,USA0058604,3.0,38.4028,-112.9889,Solar,2015.0,First Wind O&M  LLC,0.0,0.0,0.026000000000000002,5.565,6.191,2015,Utah,Beaver County
Anclote,USA0008048,1112.4,28.1844,-82.7886,Gas,1976.0,Duke Energy Florida  LLC,1556.245984,0.0,0.0,0.0,2869.6079999999997,1976,Florida,Pasco County
Devon Station,USA0000544,222.6,41.2098,-73.109,Oil,1995.080863,Devon Power LLC,0.0,0.0,0.0,0.0,10.349,1995,Connecticut,Fairfield County
Marsh Hill Wind Farm,USA0058768,16.2,42.1639,-77.5289,Wind,2014.0,Invenergy Services LLC,0.0,10.154,56.254,54.968999999999994,39.905,2014,New York,Steuben County
Campbell Hill Windpower,USA0057090,99.0,43.0145,-105.999,Wind,2010.0,Duke Energy DEGS Campbell Hill,337.58099999999996,331.374,293.519,332.38599999999997,311.59,2010,Wyoming,Converse County
Los Vientos Wind 1A,USA0057751,200.0,26.3307,-97.5857,Wind,2013.0,Los Vientos Wind 1A  LLC,567.511,685.127,596.008,577.539,662.065,2013,Texas,Cameron County
Crater Community Solar,USA0061328,3.0,44.7987,-95.5083,Solar,2018.0,Crater Community Solar,0.0,0.0,0.0,0.0,0.29,2018,Minnesota,Yellow Medicine County
Trenton Channel,USA0001745,535.5,42.1217,-83.1808,Coal,1968.0,DTE Electric Company,3415.953977,2535.808046,2341.924036,1964.578034,1918.6060420000001,1968,Michigan,Wayne County
Valenite,USA0056131,2.9,34.6572,-83.0383,Oil,2003.0,Central Electric Power,0.055999999999999994,0.095,0.135,0.165,0.085,2003,South Carolina,Oconee County
Warsaw II,USA0059120,2.0,35.01,-78.05,Solar,2014.0,Sustainable Power Group  LLC,0.15642,3.66,3.0839999999999996,3.458,3.592,2014,North Carolina,Duplin County
Twin Ridges Wind Farm,USA0057998,139.4,39.7606,-78.8747,Wind,2013.0,Everpower Wind Holdings Inc,411.392,445.43800000000005,421.76199999999994,434.577,440.47,2013,Maryland,Allegany County
Yards Creek,USA0006522,453.0,41.0006,-75.0314,Hydro,1965.3333329999998,Jersey Central Power & Lt Co,-202.13299999999998,-236.90400000000002,-169.577,-204.013,-161.819,1965,New Jersey,Warren County
Greene Valley Gas Recovery,USA0055014,6.6,41.7338,-88.0849,Waste,1996.0,WM Illinois Renewable Energy LLC,42.04,42.748999999999995,39.678000000000004,39.834,37.758,1996,Illinois,DuPage County
Heller Industrial Parks,USA0057869,2.7,40.3739,-74.4892,Solar,2012.0,Marina Energy LLC,3.468,3.466,3.595,4.758,3.362,2012,New Jersey,Middlesex County
TG Windfarm LLC,USA0056199,2.0,43.9897,-96.2236,Wind,2003.0,TG Windfarm LLC,6.247000000000001,6.898,4.751,0.20199999999999999,1.3130000000000002,2003,Minnesota,Pipestone County
Scarlet Solar,USA0060921,2.0,35.2878,-77.7951,Solar,2017.0,Cypress Creek Renewables,0.0,0.0,0.0,0.0,1.4140000000000001,2017,North Carolina,Lenoir County
Solar Photovoltaic Project #22,USA0057237,2.0,34.08,-117.2114,Solar,2011.0,Southern California Edison Co,3.62,3.0589999999999997,3.409,2.8,2.7539999999999996,2011,California,San Bernardino County
Sol Orchard El Centro PV,USA0058621,20.0,32.8033,-115.5464,Solar,2013.0,Sol Orchard Imperial 1  LLC,3.927,52.321999999999996,51.79,51.276,49.023999999999994,2013,California,Imperial County
Keahole,USA0008083,89.1,19.7317,-156.0283,Oil,2000.47587,Hawaii Electric Light Co Inc,260.68,301.712,288.22700000000003,303.209,318.991,2000,Hawaii,Hawaii County
Rumford Power  Inc,USA0055100,274.5,44.5303,-70.5219,Gas,2000.0,Rumford Power,170.112,401.026,283.166,413.233,232.57299999999998,2000,Maine,Oxford County
Simons Farm,USA0059149,5.0,36.3064,-76.9972,Solar,2016.0,Cypress Creek Renewables,0.0,0.0,0.0,4.437,9.66,2016,North Carolina,Hertford County
Menomonie,USA0004009,5.4,44.8842,-91.9294,Hydro,1958.0,Northern States Power Co - Minnesota,16.945,29.476999999999997,29.644000000000002,31.732,29.701999999999998,1958,Wisconsin,Dunn County
Dalton 2,USA0059556,6.5,34.7181,-84.9319,Solar,2015.0,Georgia Power Co,0.0,0.504,0.9490000000000001,11.071,10.503,2015,Georgia,Whitfield County
Alpha Ridge LFG,USA0058252,1.0,39.305,-76.9019,Waste,2012.0,Howard County - Maryland,7.051,6.662999999999999,4.9319999999999995,4.756,4.666,2012,Maryland,Howard County
Westmont 400A,USA0061348,2.3,33.7642,-118.2889,Solar,2017.0,Westmont Solar  LLC,0.0,0.0,0.0,0.0,1.46,2017,California,Los Angeles County
Joliet 9,USA0000874,360.4,41.4931,-88.1153,Coal,1959.0,Midwest Generations EME LLC,1302.586001,1126.3290220000001,1265.696964,206.764501,43.711999999999996,1959,Illinois,Will County
Wheelabrator Falls,USA0054746,53.3,40.1626,-74.7682,Waste,1994.0,Wheelabrator Environmental Systems,337.42400000000004,339.667,321.533,330.62199999999996,306.935,1994,New Jersey,Burlington County
Municipal Power Plant,USA0056504,2.0,42.8129,-86.0335,Gas,2002.0,City of Zeeland - (MI),0.057999999999999996,0.038,0.036000000000000004,0.19399999999999998,0.11199999999999999,2002,Michigan,Ottawa County
Amistad Dam & Power,USA0006128,66.0,29.4498,-101.0601,Hydro,1983.0,International Bound & Wtr Comm,85.919,74.642,48.498999999999995,48.58,145.7,1983,Texas,Val Verde County
Covanta Indianapolis Energy,USA0050647,6.5,39.7345,-86.1891,Waste,1988.0,Covanta Indianapolis Inc,40.10465,39.71665,41.023999999999994,40.3035,40.611999999999995,1988,Indiana,Marion County
Rolling Hills,USA0056842,99.0,43.0572,-105.8543,Wind,2009.0,PacifiCorp,294.774,271.147,261.284,284.156,237.002,2009,Wyoming,Converse County
Creech Solar 2  LLC,USA0060635,6.8,35.722,-78.6043,Solar,2017.0,Cypress Creek Renewables,0.0,0.0,0.0,0.0,9.354,2017,North Carolina,Wake County
Bremo Bluff,USA0003796,254.2,37.7089,-78.2878,Gas,1955.8284820000001,Virginia Electric & Power Co,482.49500300000005,0.0,0.0,0.0,123.735,1955,Virginia,Fluvanna County
