sitename,score,regionID,city,state,Latitude,Longitude,Federal_Facility_Indicator,Partial_Deletion,Listing_year,Listing_month,Listing_day,Proposed_year,Proposed_month,Proposed_day,Construction_year,Construction_month,Construction_day
Armstrong World Industries,50.0,4,Macon,Georgia,32.773497,-83.6516,no,no,2010,10,21,2011,9,16,0,0,0
Horton Iron and Metal,48.03,4,Wilmington,North Carolina,34.26665,-77.954083,no,no,2010,10,21,2011,9,16,0,0,0
Milford Contaminated Aquifer,50.0,5,Milford,Ohio,39.177814,-84.293786,no,no,2010,10,21,2011,3,10,0,0,0
West County Road 112 Ground Water,50.0,6,Midland,Texas,31.964129,-102.094921,no,no,2010,10,21,2011,3,10,0,0,0
Washington County Lead District - Furnace Creek,50.0,7,Caledonia,Missouri,37.840531,-90.799556,no,no,2010,10,21,2011,3,10,0,0,0
New Cassel/Hicksville Ground Water Contamination,50.0,2,New Cassel/Hicksville,New York,40.752446,-73.559781,no,no,2011,3,10,2011,9,16,0,0,0
Sauer Dump,50.0,3,Dundalk,Maryland,39.270267,-76.45271,no,no,2011,3,10,2012,3,15,0,0,0
Alamo Contaminated Ground Water,50.0,4,Alamo,Tennessee,35.784153,-89.118022,no,no,2011,3,10,2011,9,16,0,0,0
US Finishing/Cone Mills,50.0,4,Greenville,South Carolina,34.883292,-82.426303,no,no,2011,3,10,2011,9,16,0,0,0
"CTS of Asheville, Inc.",38.4,4,Asheville,North Carolina,35.493075,-82.505953,no,no,2011,3,10,2012,3,15,0,0,0
Kerr-McGee Chemical Corp - Columbus,52.47,4,Columbus,Mississippi,33.509767,-88.409686,no,no,2011,3,10,2011,9,16,0,0,0
Red Panther Chemical Company,39.43,4,Clarksdale,Mississippi,34.187408,-90.561625,no,no,2011,3,10,2011,9,16,0,0,0
Sandoval Zinc Company,30.0,5,Sandoval,Illinois,38.613061,-89.108251,no,no,2011,3,10,2011,9,16,0,0,0
Gary Development Landfill,30.0,5,Gary,Indiana,41.614061,-87.426447,no,no,2011,3,10,2011,9,16,0,0,0
Chevron Questa Mine,50.0,6,Questa,New Mexico,36.700294,-105.497706,no,no,2011,3,10,2011,9,16,0,0,0
New Idria Mercury Mine,31.66,9,Idria,California,36.418392,-120.672511,no,no,2011,3,10,2011,9,16,0,0,0
Blue Ledge Mine,50.28,9,Rogue River - Siskiyou National Forest,California,41.959961,-123.107442,no,no,2011,3,10,2011,9,16,0,0,0
Jervis B. Webb Co.,45.76,9,South Gate,California,33.950325,-118.178017,no,no,2011,9,16,2012,5,10,0,0,0
Southern Avenue Industrial Area,50.0,9,South Gate,California,33.946178,-118.176922,no,no,2011,9,16,2012,5,10,0,0,0
Continental Cleaners,50.0,4,Miami,Florida,25.831842,-80.210178,no,no,2011,9,16,2012,3,15,0,0,0
Leeds Metal,32.25,1,Leeds,Maine,44.237083,-70.08025,no,no,2011,9,16,2012,9,18,0,0,0
Compass Plaza Well TCE,50.0,7,Rogersville,Missouri,37.109009,-93.083168,no,no,2011,9,16,2012,3,15,0,0,0
Eighteenmile Creek,50.0,2,Lockport,New York,43.1813,-78.689544,no,no,2011,9,16,2012,3,15,0,0,0
Metro Container Corporation,50.0,3,Trainer,Pennsylvania,39.824981,-75.399047,no,no,2011,9,16,2012,3,15,0,0,0
Corozal Well,50.0,2,Corozal,Puerto Rico,18.295711,-66.286206,no,no,2011,9,16,2012,3,15,2020,3,31
US Oil Recovery,50.0,6,Pasadena,Texas,29.718389,-95.221528,no,no,2011,9,16,2012,9,18,0,0,0
Bremerton Gasworks,50.0,10,Bremerton,Washington,47.578544,-122.642136,no,no,2011,9,16,2012,5,10,0,0,0
Southeastern Wood Preserving,48.03,4,Canton,Mississippi,32.618061,-90.018189,no,no,2011,9,16,2012,3,15,0,0,0
Orange Valley Regional Ground Water Contamination,50.0,2,West Orange/Orange,New Jersey,40.779936,-74.225267,no,no,2012,3,15,2012,9,18,0,0,0
Fairfax St. Wood Treaters,50.0,4,Jacksonville,Florida,30.354092,-81.686394,no,no,2012,3,15,2012,9,18,2020,4,1
Holcomb Creosote Co,48.0,4,Yadkinville,North Carolina,36.157875,-80.675236,no,no,2012,3,15,2012,9,18,0,0,0
Macon Naval Ordnance Plant,48.97,4,Macon,Georgia,32.777658,-83.639675,no,no,2012,3,15,2013,5,24,0,0,0
Bautsch-Gray Mine,48.97,5,Galena,Illinois,42.357422,-90.398569,no,no,2012,3,15,2012,9,18,0,0,0
West Troy Contaminated Aquifer,50.0,5,Troy,Ohio,40.046408,-84.208928,no,no,2012,3,15,2012,9,18,0,0,0
EVR-Wood Treating/Evangeline Refining Company,48.2,6,Jennings,Louisiana,30.248056,-92.6175,no,no,2012,3,15,2012,9,18,0,0,0
Jackpile-Paguate Uranium Mine,50.0,6,Laguna Pueblo,New Mexico,35.133728,-107.347372,no,no,2012,3,15,2013,12,12,0,0,0
Circle Court Ground Water Plume,50.0,6,Willow Park,Texas,32.744778,-97.679763,no,no,2012,3,15,2012,9,18,0,0,0
Pike and Mulberry Streets PCE Plume,50.0,5,Martinsville,Indiana,39.428661,-86.431789,no,no,2012,9,18,2013,5,24,0,0,0
Former United Zinc & Associated Smelters,50.0,7,Iola,Kansas,37.92228,-95.3859,no,no,2012,9,18,2013,5,24,0,0,0
Creese & Cook Tannery (Former),60.57,1,Danvers,Massachusetts,42.553111,-70.926722,no,no,2012,9,18,2013,5,24,0,0,0
Walton & Lonsbury Inc.,58.3,1,Attleboro,Massachusetts,41.957583,-71.297139,no,no,2012,9,18,2013,5,24,0,0,0
"Matlack, Inc.",45.54,2,Woolwich Township,New Jersey,39.763106,-75.322169,no,no,2012,9,18,2013,5,24,0,0,0
Riverside Industrial Park,50.0,2,Newark,New Jersey,40.765722,-74.159084,no,no,2012,9,18,2013,5,24,0,0,0
Clinch River Corporation,48.03,4,Harriman,Tennessee,35.93195,-84.539381,no,no,2012,9,18,2013,5,24,0,0,0
700 South 1600 East PCE Plume,50.0,8,Salt Lake City,Utah,40.753938,-111.848022,yes,no,2012,9,18,2013,5,24,0,0,0
Beck's Lake,50.0,5,South Bend,Indiana,41.676581,-86.297514,no,no,2013,5,24,2013,12,12,0,0,0
Garden City Ground Water Plume,50.0,5,Garden City,Indiana,39.186075,-85.930472,no,no,2013,5,24,2013,12,12,0,0,0
Keystone Corridor Ground Water Contamination,50.0,5,Indianapolis,Indiana,39.834722,-86.121667,no,no,2013,5,24,2013,12,12,0,0,0
Cristex Drum,48.0,4,Oxford,North Carolina,36.2972,-78.6067,no,no,2013,5,24,2013,12,12,0,0,0
Hemphill Road TCE,50.0,4,Gastonia,North Carolina,35.197933,-81.189852,no,no,2013,5,24,2013,12,12,0,0,0
